turkish;russian;turkish hint;russian hint
abi/ağabey;старший брат;;
abla;старшая сестра;;
aile;семья;;
almak;получать/брать;;
amca;дядя;;брат отца или вежливое обращение к старшим
anadil;родной язык;;
anahtar;ключ/выключатель;;
anaokulu;детский сад/садик;;
anneanne;бабушка;;по матери
ağız;рот/пасть;;
babaanne;бабушка;;по отцу
boyun;шея;;
burun;нос;;
dans etmek;танцевать;;
dayı;дядя;;брат матери
dede;дедушка;;
diş;зуб;;
erkek kardeş;младший брат;;
göndermek;отправлять/посылать;;
hala;тётя;;сестра отца
havuz;бассейн;;
hissetmek;чувствовать/ощущать;;
ilkokul;начальная школа;;
karı;жена;;
koca;муж;;
kol;рука/плечо;;
kız kardeş;младшая сестра;;
lise;лицей/средняя школа;;
manto;мантия/пальто;;
mektup;письмо;;
omuz;плечевой сустав/плечо;;
ortaokul;средняя школа;;
oynamak;играть;;
satranç;шахматы;;
telefon etmek;звонить;;
teneffüs;перерыв/перемена;;
teyze;тетя;;сестра матери
yabancı dil;иностранный язык;;
yaramaz;шаловливый/непослушный/озорной;;
yazmak;написать/записывать/писать;;
zevkli;приятный;;
çalmak;красть/воровать/играть;;
öğretmek;учить/обучать;;
üniversite;университет;;
ütü;утюг;;
şirket;общество/компания/корпорация;;
eş;супруг;;
bekar;холостой;;
planlamak;планировать;;
nokta;точка;;
virgül;запятая;;
