turkish;russian;turkish hint;russian hint
anlamak;понимать;;
açmak;включать/открыть;;
bakmak;смотреть;;
banyo yapmak;принимать ванну/мыться;;
bayılmak;потерять сознание/быть в восторге от кого-чего;;
başlamak;начинать/начать;;
beslenmek;кормиться/питаться;;
bilmek;знать;;
binmek;садиться верхом/ехать/садиться (на поезд и тп);;
biriktirmek;собирать/копить/сберегать;;
bitmek;кончиться/закончиться;;
buluşmak;встретить;;
demek;говорить;;
dinlemek;слушать;;
dinlenmek;отдыхать/расслабиться;;
dolaşmak;бродить/кружить;;
durmak;стоять/останавливаться;;
duş almak;принимать душ;;
dönmek;вернуться/вращать/поворачивать;;
fotoğraf çekmek;фотографировать/снимать;;
gezmek;прогуливаться/гулять/путешествовать;;
geçmek;переходить/переправиться;;
girmek;зайти;;
gitmek;идти;;
hazırlamak;готовить/подготовить;;
hazırlanmak;готовиться/собираться;;
hoşlanmak;понравиться/нравиться;;
internete girmek;зайти в интернет;;
izlemek;наблюдать/следить;;
kahvaltı etmek;завтракать;;
kalkmak;взлетать/вставать;;
kalmak;оставаться;;
kapatmak;выключить/закрыть;;
kontrol etmek;проверять;;
konuşmak;говорить;;
korkmak;бояться;;
koymak;класть;;
koşmak;бегать;;
kullanmak;использовать;;
nefret etmek;ненавидеть;;
okumak;читать;;
oturmak;сидеть;;
oynamak;играть;;
para çekmek;снимать деньги;;
pişirmek;печь/готовить;;
sanmak;предполагать;;
sevmek;любить;;
sohbet etmek;беседовать;;
sormak;спрашивать;;
spor yapmak;заниматься спортом;;
stres atmak;снимать напряжение;;
söylemek;сказать;;
sıkılmak;скучать по кому-чему;;
tanımak;узнавать;;
tanışmak;знакомиться;;
tekrar etmek;повторить;;
temizlemek;чистить;;
tırmanmak;взбираться;;
uyumak;спать;;
uzanmak;ложиться;;
varmak;прибыть;;
vermek;давать;;
yapmak;делать;;
yardım etmek;помогать;;
yardım istemek;просить о помощи;;
yatmak;лечь;;
yaşamak;жить;;
yemek;есть;;
yorulmak;уставать;;
yürümek;гулять;;
yüzmek;плавать;;
çalışmak;трудиться/работать;;
çıkmak;выходить/выйти/появляться;;
özlemek;скучать;;
öğrenmek;изучать;;
